BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,AssociationFeeFrequency,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,MlsStatus,AttachedGarageYN,ParkingTotal,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,OriginatingSystemName,OriginatingSystemSubName,flag_missing_coords,flag_zero_coords,flag_bad_longitude
SouthBay,SouthBay,,False,False,1129900.0,1154282697,2026-02-27,1129900.0,Scott,Anastasi,33.768339,-118.366593,927 Deep Valley Drive 214,Residential,1358.0,1129900.0,0,"Scott Anastasi Realty, Inc.",Compass,,Scott Anastasi,,,SPHILNIC,Nicholas,Phillips,Monthly,1154282697,175 - Peninsula Center,Los Angeles,Closed,False,2.0,Condominium,3.4204,,SouthBay,2025.0,927.0,SB26043827,3.0,Rolling Hills Estates,3.0,2026-02-27,,2026-01-05,2025-12-01,CA,False,1.0,One,148993.0,3.0,True,2.0,Palos Verdes Peninsula Unified,90274,728.71,148993.0,CRMLS,CRMLS_CRM,False,False,False
Mrmls,SouthBay,,False,False,989900.0,1154282696,2026-02-27,989900.0,Scott,Anastasi,33.768339,-118.366593,927 Deep Valley Drive 108,Residential,1251.0,989900.0,0,"Scott Anastasi Realty, Inc.",None MRML,,Scott Anastasi,,,none,NONE,NONE,Monthly,1154282696,175 - Peninsula Center,Los Angeles,Closed,False,2.0,Condominium,3.4204,,Mrmls,2025.0,927.0,SB26046247,2.0,Rolling Hills Estates,2.0,2026-02-27,,2026-02-18,2026-02-16,CA,False,1.0,One,148993.0,2.0,True,2.0,Palos Verdes Peninsula Unified,90274,715.7,148993.0,CRMLS,CRMLS_CRM,False,False,False
NorthSanDiegoCounty,PacificSouthwest,,True,False,2470000.0,1154271961,2026-02-18,2470000.0,Marlyn,Fuentes,33.077383,-117.259268,2219 Camino Robledo,Residential,3356.0,2470000.0,0,Compass,Compass,,Marlyn Fuentes,,,109984,Christian,Potter,Monthly,1154271961,92009 - Carlsbad,San Diego,Closed,True,3.0,SingleFamilyResidence,0.0,,NorthSanDiegoCounty,2000.0,2219.0,PTP2601617,3.0,Carlsbad,4.0,2026-02-18,,2026-01-26,2026-01-20,CA,True,1.0,One,0.27,,,3.0,San Dieguito Union,92009,175.0,0.27,CRMLS,CRMLS_CRP,False,False,False
PacificSouthwest,PacificSouthwest,,True,False,460000.0,1154271175,2026-02-18,460000.0,John,Elliott,32.6117,-116.466462,1124 Custer Drive,Residential,1844.0,460000.0,0,Descanso Real Estate,Descanso Real Estate,,John Elliott,,,233346,John,Elliott,,1154271175,91906 - Campo,San Diego,Closed,False,3.0,ManufacturedOnLand,6.46,,PacificSouthwest,1998.0,1124.0,PTP2601616,2.0,Campo,5.0,2026-02-18,,2026-02-18,2026-02-17,CA,False,1.0,One,6.46,,,3.0,Mountain Empire Unified,91906,0.0,281397.6,CRMLS,CRMLS_CRP,False,False,False
Downey,PacificSouthwest,Tile,True,False,700000.0,1154238429,2026-02-25,690000.0,Micah,Swarthout Kerrico,32.854225,-115.581547,535 W Murphy Road,Residential,2124.0,700000.0,0,Jason Mitchell Real Estate CA,Outside Office,,Micah Swarthout Kerrico,,,YOUTSIDE,Outside,Agent,,1154238429,IMPL - Imperial,Imperial,Closed,True,4.0,SingleFamilyResidence,2.44,,Downey,1981.0,535.0,PTP2601602,3.0,Imperial,3.0,2026-02-25,,2026-01-24,2025-12-19,CA,True,1.0,One,106286.0,3.0,False,2.0,Other,92251,0.0,106286.0,CRMLS,CRMLS_CRP,False,False,False
PacificSouthwest,PacificSouthwest,"Carpet,Vinyl",True,False,225000.0,1154237925,2026-02-06,220000.0,Micah,Swarthout Kerrico,32.739542,-115.993282,1187 Boundary,Residential,1584.0,225000.0,0,Jason Mitchell Real Estate CA,Jason Mitchell Real Estate CA,,Micah Swarthout Kerrico,,,815612,Micah,Swarthout Kerrico,,1154237925,OCOT - Ocotillo,Imperial,Closed,False,0.0,SingleFamilyResidence,0.4135,,PacificSouthwest,1964.0,1187.0,PTP2601601,2.0,Ocotillo,3.0,2026-02-06,,2026-01-22,2026-01-05,CA,False,1.0,One,18013.0,3.0,False,0.0,Other,92259,0.0,18013.0,CRMLS,CRMLS_CRP,False,False,False
Mlslistings,Mlslistings,Wood,False,,,1154236106,2026-02-26,2641035.0,Sanit,Bordeianu,37.59011541,-122.50168862,887 San Pedro Terrace Road,Residential,2911.0,2641035.0,0,Coldwell Banker Realty,Compass,,Sanit Bordeianu,,,ML5093255,Greta,Sieglock,Annually,1154236106,699 - Not Defined,San Mateo,Closed,True,2.0,SingleFamilyResidence,0.2084,,Mlslistings,2019.0,887.0,ML82036887,4.0,Pacifica,5.0,2026-02-26,,2026-02-26,2026-02-26,CA,True,,,9079.0,,False,2.0,Other,94044,2400.0,9079.0,CRMLS,CRMLS_MLSL,False,False,False
Mlslistings,Mlslistings,"Carpet,Wood",False,,,1154230793,2026-02-27,2200000.0,Susan,Woods,37.28473515,-121.96738295,3834 Abbey Court,Residential,1892.0,2200000.0,0,Intero Real Estate Services,Intero Real Estate Services,,Susan Woods,,,ML5084329,Susan,Woods,,1154230793,699 - Not Defined,Santa Clara,Closed,False,2.0,SingleFamilyResidence,0.1671,,Mlslistings,1972.0,3834.0,ML82036874,2.0,Campbell,4.0,2026-02-27,,2026-02-27,2026-02-27,CA,True,,,7280.0,,False,2.0,Other,95008,,7280.0,CRMLS,CRMLS_MLSL,False,False,False
SanLuisObispoCoastal,NorthSanLuisObispo,"Carpet,Tile",True,False,950000.0,1154222190,2026-02-23,950000.0,Jaime,Silveira,35.48113,-120.687654,9290 Santa Lucia,Residential,2598.0,950000.0,0,"Malik Real Estate Group, Inc.",Central Coast Sotheby's International Realty,,Jaime Silveira,,,SC01844530,Annemarie,Brast,,1154222190,ATSC - Atascadero,San Luis Obispo,Closed,True,3.0,SingleFamilyResidence,1.62,ATNorthwest(20),SanLuisObispoCoastal,1990.0,9290.0,NS26045395,3.0,Atascadero,3.0,2026-02-23,,2026-01-15,2026-01-13,CA,True,2.0,Two,70567.0,2.0,False,3.0,Atascadero Unified,93422,0.0,70567.0,CRMLS,CRMLS_CRM,False,False,False
PacificWest,PacificWest,,False,False,910000.0,1154212538,2026-02-27,910000.0,Kenneth,Lugo,33.812425,-118.03357,5662 Mildred Lane,Residential,1248.0,910000.0,0,Lugo Brothers RE,Lugo Brothers RE,Lugo Brothers RE,Kenneth Lugo,Bryant,Lugo,plugoken,Kenneth,Lugo,,1154212538,80 - Cypress North of Katella,Orange,Closed,True,2.0,SingleFamilyResidence,0.1377,,PacificWest,1962.0,5662.0,PW26045404,2.0,Cypress,4.0,2026-02-27,Bryant,2026-02-11,2025-12-15,CA,False,1.0,One,6000.0,4.0,False,2.0,Cypress School District,90630,0.0,6000.0,CRMLS,CRMLS_CRM,False,False,False
